code,meigara,kana,kuramoto,ken,shi,address,meigara_2,yomi,syurui,gennryoumai,seimaibuai,siyoukoubo,nihonnsyudo,sando,aminosanndo,amakarado,noutanndo,arukouru
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  純米吟醸酒 雪咲,,純米吟醸,山田錦,50%,,+1,1.4,1.3,-0.13,-0.43,13.7%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  純米吟醸酒 雄冬,,純米吟醸,美山錦,55%,,+2,1.4,1.3,-0.22,-0.48,15.5%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  純米酒 吟心,,純米酒,はなの舞,60%,,+2,1.5,1.4,-0.34,-0.29,15.4%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  純米 小樽みなとと防波堤,,純米酒,吟風,60%,,+2,1.5,,-0.34,-0.29,15～16%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  純米 心白,,純米酒,トヨニシキ,65%,,+2,1.6,,-0.45,-0.1,15%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  ほしのゆめ100%使用 純米,,純米酒,ほしのゆめ,55%,,±0,1.7,,-0.38,+0.18,15.0～15.9%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  本醸造 生粋 金ラベル,,本醸造,はなの舞,65%,,+2,1.3,,-0.1,-0.67,15.5%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  辛口本醸造 金ラベル,,本醸造,,,,,,,,,
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  白ラベル,,,,,,+4,1.4,,-0.4,-0.57,15～15.9%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  寒造り 銀ラベル,,本醸造,はなの舞,,,+2,,,,,15.5%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  生一本 KIIPPON,,純米酒,,60%,,+2,,,,,16.8%
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道,北の誉  かわせみ 生,,本醸造生酒,はなの舞,65%,,+2,,,,,15.5%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  純米大吟醸 誕生祝,,純米大吟醸,,38%,,+5,,,,,16%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  國芳乃名取酒,,特別純米酒,美山錦,55%,協会901号,+10,1.5,,-1.07,-0.65,16%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  特別純米酒 木綿屋,,特別純米酒,美山錦,55%,,+5,1.5,,-0.61,-0.43,
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  特別純米 ひやおろし,,純米生酒,,60%,,+4,1.6,,-0.64,-0.19,15～16%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  御免酒,ごめんしゅ,特別純米原酒,吟の精,60%,協会701号,+5,1.8,1.2,-0.96,+0.14,15%
