code,meigara,kana,kuramoto,ken,shi,address
3245,底ぬけ,そこぬけ,河忠酒造,新潟県,長岡市,新潟県長岡市脇野町1677番地
2744,古雅,こが,住乃井酒造,新潟県,長岡市,新潟県長岡市吉崎581-1
582,住乃井,すみのい,住乃井酒造,新潟県,長岡市,新潟県長岡市吉崎581-1
612,奴奈姫,ぬなひめ,猪又酒造,新潟県,糸魚川市,新潟県糸魚川市新町71-1
611,月不見の池,つきみずのいけ,猪又酒造,新潟県,糸魚川市,新潟県糸魚川市新町71-1
3471,連華山,れんげさん,田原酒造,新潟県,糸魚川市,新潟県糸魚川市押上1-1-25
1140,雪鶴,ゆきつる,田原酒造,新潟県,糸魚川市,新潟県糸魚川市押上1-1-25
613,加賀の井,かがのい,加賀の井酒造,新潟県,糸魚川市,新潟県糸魚川市大町2-3-5
145,謙信,けんしん,池田屋酒造,新潟県,糸魚川市,新潟県糸魚川市新鉄1-3-4
3467,池田屋,いけだや,池田屋酒造,新潟県,糸魚川市,新潟県糸魚川市新鉄1-3-4
610,雪中梅,せっちゅうばい,丸山酒造場,新潟県,上越市三和区,新潟県上越市三和区塔ノ輪617
1429,越の白鳥,こしのはくちょう,新潟第一酒造,新潟県,上越市浦川原区,新潟県上越市浦川原区横川660
1517,山間,やんま,新潟第一酒造,新潟県,上越市浦川原区,新潟県上越市浦川原区横川660
597,越の若竹,こしのわかたけ,上越酒造,新潟県,上越市,新潟県上越市大字飯田508
598,越後美人,えちごびじん,上越酒造,新潟県,上越市,新潟県上越市大字飯田508
3469,ぶなの露,ぶなのつゆ,武蔵野酒造,新潟県,上越市,新潟県上越市西城町4-7-46
606,スキー正宗,すきーまさむね,武蔵野酒造,新潟県,上越市,新潟県上越市西城町4-7-46
608,加茂乃井,かものい,武蔵野酒造,新潟県,上越市,新潟県上越市西城町4-7-46
607,春日山 天と地,かすがやま てんとち,武蔵野酒造,新潟県,上越市,新潟県上越市西城町4-7-46
2356,シャトー妙高,しゃとーみょうこう,妙高酒造,新潟県,上越市,新潟県上越市南本町2-7-47
2358,深雪の里,みゆきのさと,妙高酒造,新潟県,上越市,新潟県上越市南本町2-7-47
2359,越後おやじ,えちごおやじ,妙高酒造,新潟県,上越市,新潟県上越市南本町2-7-47
605,妙高山,みょうこうざん,妙高酒造,新潟県,上越市,新潟県上越市南本町2-7-47
2357,越乃雪月花,こしのせつげつか,妙高酒造,新潟県,上越市,新潟県上越市南本町2-7-47
602,越後田中屋大五郎,えちごたなかやだいごろう,君の井酒造,新潟県,妙高市,新潟県妙高市下町3-11
3862,恵信,えしん,君の井酒造,新潟県,妙高市,新潟県妙高市下町3-11
600,君の井,きみのい,君の井酒造,新潟県,妙高市,新潟県妙高市下町3-11
601,越後の蔵秘伝,えちごのくらひでん,君の井酒造,新潟県,妙高市,新潟県妙高市下町3-11
1675,真 Shin,しん,千代の光酒造,新潟県,妙高市,新潟県妙高市窪松原656
1089,千代の光,ちよのひかり,千代の光酒造,新潟県,妙高市,新潟県妙高市窪松原656
2952,KENICHIRO,けんいちろう,千代の光酒造,新潟県,妙高市,新潟県妙高市窪松原656
3015,登美屋,とみや,加茂乃井酒造,新潟県,上越市板倉区,新潟県上越市板倉区
609,谷乃井,たにのい,谷乃井酒造,新潟県,上越市板倉区,新潟県上越市板倉区
604,鮎,あゆ,鮎正宗酒造,新潟県,妙高市,新潟県妙高市猿橋636
603,鮎正宗,あゆまさむね,鮎正宗酒造,新潟県,妙高市,新潟県妙高市猿橋636
599,越の誉,こしのほまれ,原酒造,新潟県,柏崎市,新潟県柏崎市新橋5-12
2748,あわっしゅ,あわっしゅ,原酒造,新潟県,柏崎市,新潟県柏崎市新橋5-12
2747,銀の翼,ぎんのつばさ,原酒造,新潟県,柏崎市,新潟県柏崎市新橋5-12
1432,越乃こころ,こしのこころ,阿部酒造,新潟県,柏崎市,新潟県柏崎市安田3475-1
2953,あべ,あべ,阿部酒造,新潟県,柏崎市,新潟県柏崎市安田3475-1
1433,越乃男山,こしのおとこやま,阿部酒造,新潟県,柏崎市,新潟県柏崎市安田3475-1
2796,阿部,あべ,阿部酒造,新潟県,柏崎市,新潟県柏崎市安田3475-1
2198,八石,はちこく,林酒造場,新潟県,柏崎市,新潟県柏崎市与板1242-1
2199,鯖石郷,さばいしごう,林酒造場,新潟県,柏崎市,新潟県柏崎市与板1242-1
2197,杉の露,すぎのつゆ,林酒造場,新潟県,柏崎市,新潟県柏崎市与板1242-1
1426,かめぐち酒,かめぐちざけ,石塚酒造,新潟県,柏崎市,新潟県柏崎市高柳町岡野町1820-2
1425,姫の井,ひめのい,石塚酒造,新潟県,柏崎市,新潟県柏崎市高柳町岡野町1820-2
584,緑川,みどりかわ,緑川酒造,新潟県,魚沼市,新潟県魚沼市青島4015-1
3539,越後武士,えちごさむらい,玉川酒造,新潟県,魚沼市,新潟県魚沼市須原1643
3703,桂の関,かつらのせき,玉川酒造,新潟県,魚沼市,新潟県魚沼市須原1643
574,ゆきくら,ゆきくら,玉川酒造,新潟県,魚沼市,新潟県魚沼市須原1643
2783,越乃雪蔵,こしのゆきくら,玉川酒造,新潟県,魚沼市,新潟県魚沼市須原1643
573,玉風味,たまふうみ,玉川酒造,新潟県,魚沼市,新潟県魚沼市須原1643
585,長者盛,ちょうじゃざかり,新潟銘醸,新潟県,小千谷市,新潟県小千谷市東栄1丁目8番39号
587,越の寒中梅,こしのかんちゅうばい,新潟銘醸,新潟県,小千谷市,新潟県小千谷市東栄1丁目8番39号
586,越後の長者,えちごのちょうじゃ,新潟銘醸,新潟県,小千谷市,新潟県小千谷市東栄1丁目8番39号
1103,冬将軍,ふゆしょうぐん,新潟銘醸,新潟県,小千谷市,新潟県小千谷市東栄1丁目8番39号
3715,伊乎乃,いおの,高の井酒造,新潟県,小千谷市,新潟県小千谷市東栄3-7-67
1818,鄙の雪蔵,ひなのゆきぐら,高の井酒造,新潟県,小千谷市,新潟県小千谷市東栄3-7-67
3816,田友,でんゆう,高の井酒造,新潟県,小千谷市,新潟県小千谷市東栄3-7-67
144,越の初梅,こしのはつうめ,高の井酒造,新潟県,小千谷市,新潟県小千谷市東栄3-7-67
1817,たかの井,たかのい,高の井酒造,新潟県,小千谷市,新潟県小千谷市東栄3-7-67
3551,凌駕,りょうが,松乃井酒造場,新潟県,十日町市,新潟県十日町市上野50-1
